"Código Receita"|"Receita"|"Jan"|"Fev"|"Mar"|"Abr"|"Mai"|"Jun"|"Jul"|"Ago"|"Set"|"Out"|"Nov"|"Dez"|"Total"|"Tp_Linha"|"Rec_Id"
"1.1.2.1.01.0.1.0030"|"Taxa de Licenca para Execucao de Obras"|"73115.74"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"73115.74"|"2"|"1.1.2.1.01.0.1.0030"
"1.1.2.2.01.0.1.0010"|"Taxa de Limpeza Publica"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"2"|"1.1.2.2.01.0.1.0010"
"1.1.2.1.01.0.1.0040"|"Taxa de Utilizacao de Area de Dominio Publico"|"3332.53"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"3332.53"|"2"|"1.1.2.1.01.0.1.0040"
"1.1.2.1.50.0.3.0002"|"Taxa Fisc. Vig. Sanitaria - DIV Ativa At Monetaria"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"2"|"1.1.2.1.50.0.3.0002"
"1.1.2.1.50.0.3.0004"|"Taxa Fisc. Vig. Sanitaria - DIV Ativa At Monetaria"|"1573.29"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"1573.29"|"2"|"1.1.2.1.50.0.3.0004"
"1.1.2.1.50.0.4.0001"|"Taxa Fisc. Vig. Sanitaria - DIV Ativa Multa/juros"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"2"|"1.1.2.1.50.0.4.0001"
"1.1.2.1.50.0.4.0002"|"Taxa Fisc. Vig. Sanitaria - DIV Ativa Multa/juros"|"1448.96"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"1448.96"|"2"|"1.1.2.1.50.0.4.0002"
"1.1.2.1.50.0.3.0001"|"Taxa Fisc. Vig. Sanitaria - DIV Ativa Principal"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"2"|"1.1.2.1.50.0.3.0001"
"1.1.2.1.50.0.3.0003"|"Taxa Fisc. Vig. Sanitaria - DIV Ativa Principal"|"8494.17"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"8494.17"|"2"|"1.1.2.1.50.0.3.0003"
"1.1.2.1.50.0.2.0001"|"Taxa Fiscalizacao Vig. Sanitaria - Multas e Juros"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"2"|"1.1.2.1.50.0.2.0001"
"1.1.2.1.50.0.2.0002"|"Taxa Fiscalizacao Vig. Sanitaria - Multas e Juros"|"54.88"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"54.88"|"2"|"1.1.2.1.50.0.2.0002"
"1.1.2.1.50.0.1.0001"|"Taxa Fiscalizacao Vig. Sanitaria - Principal"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"2"|"1.1.2.1.50.0.1.0001"
